"Asset:";"Potosí";"Potosí"
"Element:";"PS20.WS01";"PS20.WS01"
"Date/Signal";"Irr POA Pyr 5M (W/m2)";"Irr GHI Pyr 5M (W/m2)"
"01/08/2023 00:05:00";"0";"0"
"01/08/2023 00:10:00";"0";"0"
"01/08/2023 00:15:00";"0";"0"
"01/08/2023 00:20:00";"0";"0"
"01/08/2023 00:25:00";"0";"0"
"01/08/2023 00:30:00";"0";"0"
"01/08/2023 00:35:00";"0";"0"
"01/08/2023 00:40:00";"0";"0"
"01/08/2023 00:45:00";"0";"0"
"01/08/2023 00:50:00";"0";"0"
"01/08/2023 00:55:00";"0";"0"
"01/08/2023 01:00:00";"0";"0"
"01/08/2023 01:05:00";"0";"0"
"01/08/2023 01:10:00";"0";"0"
"01/08/2023 01:15:00";"0";"0"
"01/08/2023 01:20:00";"0";"0"
"01/08/2023 01:25:00";"0";"0"
"01/08/2023 01:30:00";"0";"0"
"01/08/2023 01:35:00";"0";"0"
"01/08/2023 01:40:00";"0";"0"
"01/08/2023 01:45:00";"0";"0"
"01/08/2023 01:50:00";"0";"0"
"01/08/2023 01:55:00";"0";"0"
"01/08/2023 02:00:00";"0";"0"
"01/08/2023 02:05:00";"0";"0"
"01/08/2023 02:10:00";"0";"0"
"01/08/2023 02:15:00";"0";"0"
"01/08/2023 02:20:00";"0";"0"
"01/08/2023 02:25:00";"0";"0"
"01/08/2023 02:30:00";"0";"0"
"01/08/2023 02:35:00";"0";"0"
"01/08/2023 02:40:00";"0";"0"
"01/08/2023 02:45:00";"0";"0"
"01/08/2023 02:50:00";"0";"0"
"01/08/2023 02:55:00";"0";"0"
"01/08/2023 03:00:00";"0";"0"
"01/08/2023 03:05:00";"0";"0"
"01/08/2023 03:10:00";"0";"0"
"01/08/2023 03:15:00";"0";"0"
"01/08/2023 03:20:00";"0";"0"
"01/08/2023 03:25:00";"0";"0"
"01/08/2023 03:30:00";"0";"0"
"01/08/2023 03:35:00";"0";"0"
"01/08/2023 03:40:00";"0";"0"
"01/08/2023 03:45:00";"0";"0"
"01/08/2023 03:50:00";"0";"0"
"01/08/2023 03:55:00";"0";"0"
"01/08/2023 04:00:00";"0";"0"
"01/08/2023 04:05:00";"0";"0"
"01/08/2023 04:10:00";"0";"0"
"01/08/2023 04:15:00";"0";"0"
"01/08/2023 04:20:00";"0";"0"
"01/08/2023 04:25:00";"0";"0"
"01/08/2023 04:30:00";"0";"0"
"01/08/2023 04:35:00";"0";"0"
"01/08/2023 04:40:00";"0";"0"
"01/08/2023 04:45:00";"0";"0"
"01/08/2023 04:50:00";"0";"0"
"01/08/2023 04:55:00";"0";"0"
"01/08/2023 05:00:00";"0";"0"
"01/08/2023 05:05:00";"0";"0"
"01/08/2023 05:10:00";"0";"0"
"01/08/2023 05:15:00";"0";"0"
"01/08/2023 05:20:00";"0";"0"
"01/08/2023 05:25:00";"0";"0"
"01/08/2023 05:30:00";"0";"0"
"01/08/2023 05:35:00";"0";"0"
"01/08/2023 05:40:00";"0";"0"
"01/08/2023 05:45:00";"0";"0"
"01/08/2023 05:50:00";"0";"0"
"01/08/2023 05:55:00";"0";"0"
"01/08/2023 06:00:00";"0";"0"
"01/08/2023 06:05:00";"0";"0"
"01/08/2023 06:10:00";"0.344";"0.132"
"01/08/2023 06:15:00";"1.641";"1.775"
"01/08/2023 06:20:00";"2.255";"2.309"
"01/08/2023 06:25:00";"4.437";"4.54"
"01/08/2023 06:30:00";"7.932";"8.711"
"01/08/2023 06:35:00";"13.762";"14.107"
"01/08/2023 06:40:00";"27.806";"25.289"
"01/08/2023 06:45:00";"45.279";"35.672"
"01/08/2023 06:50:00";"44.435";"36.777"
"01/08/2023 06:55:00";"83.59";"58.421"
"01/08/2023 07:00:00";"162.35";"99.879"
"01/08/2023 07:05:00";"192.591";"110.35"
"01/08/2023 07:10:00";"216.786";"124.425"
"01/08/2023 07:15:00";"267.774";"147.036"
"01/08/2023 07:20:00";"295.947";"160.577"
"01/08/2023 07:25:00";"358.699";"190.57"
"01/08/2023 07:30:00";"402.388";"212.135"
"01/08/2023 07:35:00";"434.397";"229.148"
"01/08/2023 07:40:00";"510.716";"265.928"
"01/08/2023 07:45:00";"573.034";"297.988"
"01/08/2023 07:50:00";"626.415";"326.031"
"01/08/2023 07:55:00";"688";"352.692"
"01/08/2023 08:00:00";"744.486";"383.606"
"01/08/2023 08:05:00";"811.992";"420.266"
"01/08/2023 08:10:00";"757.162";"402.714"
"01/08/2023 08:15:00";"549.598";"319.756"
"01/08/2023 08:20:00";"592.166";"344.103"
"01/08/2023 08:25:00";"631.272";"369.773"
"01/08/2023 08:30:00";"765.195";"440.714"
"01/08/2023 08:35:00";"895.758";"511.167"
"01/08/2023 08:40:00";"679.927";"416.436"
"01/08/2023 08:45:00";"720.948";"450.047"
"01/08/2023 08:50:00";"795.385";"497.57"
"01/08/2023 08:55:00";"707.662";"462.749"
"01/08/2023 09:00:00";"660.546";"451.593"
"01/08/2023 09:05:00";"573.494";"417.131"
"01/08/2023 09:10:00";"772.198";"546.319"
"01/08/2023 09:15:00";"972.456";"680.425"
"01/08/2023 09:20:00";"701.687";"523.629"
"01/08/2023 09:25:00";"613.123";"474.917"
"01/08/2023 09:30:00";"710.532";"542.425"
"01/08/2023 09:35:00";"539.671";"432.319"
"01/08/2023 09:40:00";"538.231";"436.018"
"01/08/2023 09:45:00";"613.473";"490.229"
"01/08/2023 09:50:00";"621.3";"496.531"
"01/08/2023 09:55:00";"622.74";"502.566"
"01/08/2023 10:00:00";"741.032";"590.817"
"01/08/2023 10:05:00";"870.628";"692.381"
"01/08/2023 10:10:00";"882.045";"706.339"
"01/08/2023 10:15:00";"947.716";"766.053"
"01/08/2023 10:20:00";"990.129";"808.695"
"01/08/2023 10:25:00";"1016.699";"841.23"
"01/08/2023 10:30:00";"1032.354";"863.964"
"01/08/2023 10:35:00";"1015.781";"861.206"
"01/08/2023 10:40:00";"967.397";"831.784"
"01/08/2023 10:45:00";"918.242";"796.46"
"01/08/2023 10:50:00";"790.404";"691.074"
"01/08/2023 10:55:00";"839.22";"738.745"
